id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;Metroer;selenium;1597668441.7594922;-0.9078269004821777;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126862;;;
1;Metroer;selenium;1597668465.315259;-0.6593270301818848;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
2;Metroer;selenium;1597668537.3268118;-0.6529080867767334;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131090;;;
3;Metroer;selenium;1597668557.864655;-0.6922461986541748;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
4;Metroer;selenium;1597668572.154662;-0.7040722370147705;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131336;;;
5;Metroer;selenium;1597668590.1935282;-0.6137168407440186;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
6;Metroer;selenium;1597668777.073822;-0.7340550422668457;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131090;;;
7;Metroer;selenium;1597668804.6881459;-0.7499089241027832;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131336;;;
8;Metroer;selenium;1597668857.4496052;-0.7179577350616455;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126921;;;
9;Metroer;selenium;1597668888.2022269;-0.6705081462860107;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;114040;;;
10;Metroer;selenium;1597668925.599781;-0.6569828987121582;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
11;Metroer;selenium;1597669107.353178;-0.8794541358947754;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126973;;;
12;Metroer;selenium;1597669348.852798;-1.104158878326416;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131119;;;
13;Metroer;selenium;1597669377.367693;-1.7905769348144531;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131090;;;
14;Metroer;selenium;1597669394.561588;-0.8129651546478271;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131090;;;
15;Metroer;selenium;1597669430.2677052;-0.935316801071167;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131284;;;
16;Metroer;selenium;1597669547.8069508;-1.0021071434020996;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
17;Metroer;selenium;1597669609.59039;-0.926367998123169;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131090;;;
18;Metroer;selenium;1597669639.2995882;-1.1075217723846436;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
19;Metroer;selenium;1597669931.436091;-0.9138531684875488;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126727;;;
20;Metroer;selenium;1597669943.6857312;-0.9075818061828613;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131090;;;
21;Metroer;selenium;1597669952.5684521;-0.819443941116333;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;126973;;;
22;Metroer;selenium;1597670011.2132092;-0.7680556774139404;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;https://da.wikipedia.org/wiki/Stationer_p%C3%A5_K%C3%B8benhavns_Metro;131300;;;